rank,name,range
1,앤트맨과 와스프,0,na
2,마녀,0,na
3,변산,0,na
4,탐정: 리턴즈,0,na
5,허스토리,0,na
6,시카리오: 데이 오브 솔다도,0,na
7,인랑,6,up
8,신과함께-인과 연,2,up
9,미드나잇 선,0,na
10,독전,3,down
11,쥬라기 월드: 폴른 킹덤,3,down
12,오션스8,1,down
13,여중생A,1,down
14,오 루시!,1,up
15,더 펜션,1,up
16,아일라,2,down
17,스카이스크래퍼,0,na
18,킬링 디어,2,up
19,공작,0,na
20,개들의 섬,2,down
21,인크레더블 2,1,up
22,빅샤크: 매직체인지,1,down
23,착한 장모,1,up
24,어벤져스: 인피니티 워,1,up
25,속닥속닥,2,up
26,게이트,3,down
27,"오늘 밤, 로맨스 극장에서",5,up
28,아이 필 프리티,1,up
29,잉글랜드 이즈 마인,1,down
30,앤트맨,3,up
31,어린 여배우,8,up
32,퓨처 월드,2,down
33,미션 임파서블: 폴아웃,1,up
34,램페이지,8,down
35,버닝,5,down
36,연애 : 엄마친구,7,up
37,서버비콘,3,up
38,트루스 오어 데어,3,down
39,식구,8,up
40,레디 플레이어 원,1,up
41,시카리오: 암살자의 도시,5,down
42,추룡,4,down
43,바르다가 사랑한 얼굴들,1,down
44,드래곤 프린세스,2,up
45,시크릿 어페어,0,na
46,몬몬몬 몬스터,20,up
47,더 도메스틱,1,up
48,하우스 오브 데스,27,up
49,도묘필기: 제국의 서막,12,down
50,너의 췌장을 먹고 싶어,5,down
